experiment_file, dataset, use_rear_lidar, particle_count, noise_sigma, local_search_resolution, local_search_offset, runtime, rmse
experiments\experiment00, bicocca, False, 1, 0, 0, 0, 89.94054555892944, 1.562810372154707
experiments\experiment01, bicocca, False, 10, 0.0001, 0, 0.05, 85.58533668518066, 0.7312056486474489
experiments\experiment02, bicocca, False, 10, 0.0001, 1, 0.05, 92.73321413993835, 1.6362608092579145
experiments\experiment03, bicocca, False, 10, 0.0001, 2, 0.05, 100.18441891670227, 1.5552995398806506
experiments\experiment04, bicocca, False, 10, 0.001, 0, 0.05, 82.74183797836304, 1.1518238964598608
experiments\experiment05, bicocca, False, 10, 0.001, 1, 0.05, 88.5875072479248, 0.9114933005924699
experiments\experiment06, bicocca, False, 10, 0.001, 2, 0.05, 100.26357460021973, 1.4924686672640286
experiments\experiment07, bicocca, False, 10, 0.01, 0, 0.05, 76.81268668174744, 1.313396536044251
experiments\experiment08, bicocca, False, 10, 0.01, 1, 0.05, 85.67769932746887, 1.2214529440426634
experiments\experiment09, bicocca, False, 10, 0.01, 2, 0.05, 100.82994318008423, 1.2552701013989938
experiments\experiment10, bicocca, False, 100, 0.0001, 0, 0.05, 101.64494943618774, 1.6542258435289048
experiments\experiment11, bicocca, False, 100, 0.0001, 1, 0.05, 180.63969349861145, 2.9766522439815395
experiments\experiment12, bicocca, False, 100, 0.0001, 2, 0.05, 338.9394679069519, 1.0893471189339017
experiments\experiment13, bicocca, False, 100, 0.001, 0, 0.05, 106.73501467704773, 1.4174099267669649
experiments\experiment14, bicocca, False, 100, 0.001, 1, 0.05, 220.8476541042328, 1.555681540310656
experiments\experiment15, bicocca, False, 100, 0.001, 2, 0.05, 397.29265093803406, 1.5810084271071305
experiments\experiment16, bicocca, False, 100, 0.01, 0, 0.05, 101.66883587837219, 1.3711038684511516
experiments\experiment17, bicocca, False, 100, 0.01, 1, 0.05, 182.0038139820099, 1.284969603945086
experiments\experiment18, bicocca, False, 100, 0.01, 2, 0.05, 338.94784665107727, 1.5196175964290137
experiments\experiment19, bicocca, True, 10, 0.0001, 0, 0.05, 80.5958981513977, 1.549867876626884
experiments\experiment20, bicocca, True, 10, 0.0001, 1, 0.05, 90.00802063941956, 1.0925677144713546
experiments\experiment21, bicocca, True, 10, 0.0001, 2, 0.05, 107.28905272483826, 1.011277975691913
experiments\experiment22, bicocca, True, 10, 0.001, 0, 0.05, 89.52689266204834, 1.9974146871811709
experiments\experiment23, bicocca, True, 10, 0.001, 1, 0.05, 109.82950568199158, 1.7058672223853768
experiments\experiment24, bicocca, True, 10, 0.001, 2, 0.05, 132.2904989719391, 1.5649679697957917
experiments\experiment25, bicocca, True, 10, 0.01, 0, 0.05, 93.25540947914124, 1.8303042700443823
experiments\experiment26, bicocca, True, 10, 0.01, 1, 0.05, 108.72549891471863, 1.5960956341995256
experiments\experiment27, bicocca, True, 10, 0.01, 2, 0.05, 131.4055211544037, 1.8206591710997957
experiments\experiment28, bicocca, True, 100, 0.0001, 0, 0.05, 135.5824944972992, 1.7854719753494228
experiments\experiment29, bicocca, True, 100, 0.0001, 1, 0.05, 272.0187487602234, 0.9440791384795174
experiments\experiment30, bicocca, True, 100, 0.0001, 2, 0.05, 509.24041080474854, 0.8125839619380156
experiments\experiment31, bicocca, True, 100, 0.001, 0, 0.05, 123.59217715263367, 1.2906391230126635
experiments\experiment32, bicocca, True, 100, 0.001, 1, 0.05, 197.2721724510193, 1.6604806241547985
experiments\experiment33, bicocca, True, 100, 0.001, 2, 0.05, 375.4517922401428, 1.6005664500341277
experiments\experiment34, bicocca, True, 100, 0.01, 0, 0.05, 111.77598357200623, 1.8932325724958625
experiments\experiment35, bicocca, True, 100, 0.01, 1, 0.05, 197.18550276756287, 1.5669671484947583
experiments\experiment36, bicocca, True, 100, 0.01, 2, 0.05, 369.86300826072693, 1.5795029473055555
