experiment_file, repetition, dataset, use_rear_lidar, particle_count, noise_sigma, local_search_resolution, local_search_offset, runtime, rmse
experiments\experiment00, 1, bicocca, False, 1, 0, 0, 0, 11.675727128982544, 1.562810372154707
experiments\experiment01, 1, bicocca, False, 10, 0.0001, 0, 0.1, 13.832942485809326, 1.3858338345188872
experiments\experiment02, 1, bicocca, False, 10, 0.0001, 1, 0.1, 22.774261713027954, 1.5124637146563025
experiments\experiment03, 1, bicocca, False, 10, 0.0001, 2, 0.1, 37.22444224357605, 1.5126215773297689
experiments\experiment04, 1, bicocca, False, 10, 0.001, 0, 0.1, 13.630474090576172, 1.283987042810577
experiments\experiment05, 1, bicocca, False, 10, 0.001, 1, 0.1, 21.614517211914062, 1.5440837410526236
experiments\experiment06, 1, bicocca, False, 10, 0.001, 2, 0.1, 37.24424958229065, 1.5440837410526251
experiments\experiment08, 1, bicocca, False, 10, 0.01, 1, 0.1, 21.510863304138184, 1.461505704320094
experiments\experiment09, 1, bicocca, False, 10, 0.01, 2, 0.1, 36.803790807724, 1.48854594296617
experiments\experiment10, 1, bicocca, False, 100, 0.0001, 0, 0.1, 37.11745023727417, 1.5008090028101693
experiments\experiment11, 1, bicocca, False, 100, 0.0001, 1, 0.1, 117.58842039108276, 1.5291963014250924
experiments\experiment12, 1, bicocca, False, 100, 0.0001, 2, 0.1, 275.3607659339905, 1.529196301425094
experiments\experiment13, 1, bicocca, False, 100, 0.001, 0, 0.1, 38.57473349571228, 1.101333514645406
experiments\experiment14, 1, bicocca, False, 100, 0.001, 1, 0.1, 120.02872061729431, 1.5453503591426283
experiments\experiment15, 1, bicocca, False, 100, 0.001, 2, 0.1, 274.1600489616394, 1.5462579144446584
experiments\experiment16, 1, bicocca, False, 100, 0.01, 0, 0.1, 38.78079104423523, 1.3888546475723513
experiments\experiment17, 1, bicocca, False, 100, 0.01, 1, 0.1, 127.4333131313324, 1.5357111330189885
experiments\experiment18, 1, bicocca, False, 100, 0.01, 2, 0.1, 277.2817666530609, 1.535451684569144
experiments\experiment19, 1, bicocca, True, 10, 0.0001, 0, 0.1, 15.610289573669434, 1.906296814283072
experiments\experiment20, 1, bicocca, True, 10, 0.0001, 1, 0.1, 25.72121524810791, 1.8773939135662434
experiments\experiment21, 1, bicocca, True, 10, 0.0001, 2, 0.1, 41.69318509101868, 0.7028000207026233
experiments\experiment22, 1, bicocca, True, 10, 0.001, 0, 0.1, 15.309015274047852, 1.7601513322195939
experiments\experiment23, 1, bicocca, True, 10, 0.001, 1, 0.1, 25.008463859558105, 1.57304150063035
experiments\experiment24, 1, bicocca, True, 10, 0.001, 2, 0.1, 42.31456208229065, 1.4646740451356626
experiments\experiment25, 1, bicocca, True, 10, 0.01, 0, 0.1, 15.649341344833374, 1.908190663405304
experiments\experiment26, 1, bicocca, True, 10, 0.01, 1, 0.1, 24.365325689315796, 1.321230206346285
experiments\experiment27, 1, bicocca, True, 10, 0.01, 2, 0.1, 42.89219379425049, 0.8819271121652046
experiments\experiment28, 1, bicocca, True, 100, 0.0001, 0, 0.1, 42.33416128158569, 1.7352333470243786
experiments\experiment29, 1, bicocca, True, 100, 0.0001, 1, 0.1, 138.2149782180786, 1.845195539818095
experiments\experiment30, 1, bicocca, True, 100, 0.0001, 2, 0.1, 312.30243372917175, 1.429466823493934
experiments\experiment31, 1, bicocca, True, 100, 0.001, 0, 0.1, 42.919737815856934, 1.7577591194263593
experiments\experiment32, 1, bicocca, True, 100, 0.001, 1, 0.1, 135.9517867565155, 1.8793609911961326
experiments\experiment33, 1, bicocca, True, 100, 0.001, 2, 0.1, 323.49115777015686, 1.4859172955774627
experiments\experiment34, 1, bicocca, True, 100, 0.01, 0, 0.1, 42.45273184776306, 1.7890893898561617
experiments\experiment35, 1, bicocca, True, 100, 0.01, 1, 0.1, 130.91503477096558, 1.8360696181751
experiments\experiment36, 1, bicocca, True, 100, 0.01, 2, 0.1, 314.3281514644623, 1.4522869559508689
experiments\experiment00, 2, bicocca, False, 1, 0, 0, 0, 11.284089803695679, 1.562810372154707
experiments\experiment01, 2, bicocca, False, 10, 0.0001, 0, 0.1, 13.827081680297852, 1.484522115152401
experiments\experiment02, 2, bicocca, False, 10, 0.0001, 1, 0.1, 22.168829202651978, 1.5443974844951303
experiments\experiment03, 2, bicocca, False, 10, 0.0001, 2, 0.1, 39.46305465698242, 1.543887104539451
experiments\experiment04, 2, bicocca, False, 10, 0.001, 0, 0.1, 13.883587121963501, 1.0588374112975023
experiments\experiment05, 2, bicocca, False, 10, 0.001, 1, 0.1, 22.5040864944458, 1.5512256220029916
experiments\experiment06, 2, bicocca, False, 10, 0.001, 2, 0.1, 38.02751398086548, 1.5511343022203394
experiments\experiment07, 2, bicocca, False, 10, 0.01, 0, 0.1, 13.838381052017212, 1.6475636085974936
experiments\experiment08, 2, bicocca, False, 10, 0.01, 1, 0.1, 22.320614099502563, 1.5231544282988108
experiments\experiment09, 2, bicocca, False, 10, 0.01, 2, 0.1, 38.79853868484497, 1.5417984403337828
experiments\experiment10, 2, bicocca, False, 100, 0.0001, 0, 0.1, 38.69072937965393, 1.4849447227545838
experiments\experiment11, 2, bicocca, False, 100, 0.0001, 1, 0.1, 123.7325508594513, 1.5641682772517262
experiments\experiment12, 2, bicocca, False, 100, 0.0001, 2, 0.1, 276.4620804786682, 1.5641682772517262
experiments\experiment13, 2, bicocca, False, 100, 0.001, 0, 0.1, 39.61836004257202, 1.3943260939281297
experiments\experiment14, 2, bicocca, False, 100, 0.001, 1, 0.1, 118.85985612869263, 1.5552441537644686
experiments\experiment15, 2, bicocca, False, 100, 0.001, 2, 0.1, 276.48197865486145, 1.554362769061801
experiments\experiment16, 2, bicocca, False, 100, 0.01, 0, 0.1, 38.34584856033325, 1.4709614279690535
experiments\experiment17, 2, bicocca, False, 100, 0.01, 1, 0.1, 120.06155943870544, 1.5949415858954012
experiments\experiment18, 2, bicocca, False, 100, 0.01, 2, 0.1, 269.69933223724365, 1.5807533805538254
experiments\experiment19, 2, bicocca, True, 10, 0.0001, 0, 0.1, 14.970676898956299, 1.036135663440526
experiments\experiment20, 2, bicocca, True, 10, 0.0001, 1, 0.1, 23.617570877075195, 1.8596022136398633
experiments\experiment21, 2, bicocca, True, 10, 0.0001, 2, 0.1, 40.17696714401245, 1.539023688205154
experiments\experiment22, 2, bicocca, True, 10, 0.001, 0, 0.1, 15.438972234725952, 1.7815162389997368
experiments\experiment23, 2, bicocca, True, 10, 0.001, 1, 0.1, 24.03255820274353, 1.7723435509748158
experiments\experiment24, 2, bicocca, True, 10, 0.001, 2, 0.1, 41.325926542282104, 1.428011674966589
experiments\experiment25, 2, bicocca, True, 10, 0.01, 0, 0.1, 15.312652826309204, 1.9259871523921726
experiments\experiment26, 2, bicocca, True, 10, 0.01, 1, 0.1, 24.747175693511963, 1.2888733511156496
experiments\experiment27, 2, bicocca, True, 10, 0.01, 2, 0.1, 42.84572219848633, 1.1729776824669618
experiments\experiment28, 2, bicocca, True, 100, 0.0001, 0, 0.1, 41.93475365638733, 2.1450732958751404
experiments\experiment29, 2, bicocca, True, 100, 0.0001, 1, 0.1, 129.65660071372986, 1.9028219006931018
experiments\experiment30, 2, bicocca, True, 100, 0.0001, 2, 0.1, 300.2340712547302, 1.4298924839381257
