experiment_file,repetition,use_rear_lidar,particle_count,noise_sigma,local_search_resolution,local_search_offset,runtime,rmse
experiments\experiment00,5.5,0.0,1.0,0.0,0.0,0.0,11.221396112442017,1.562810372154707
experiments\experiment01,5.5,0.0,10.0,0.0001,0.0,0.1,13.789810156822204,1.4366448736658337
experiments\experiment02,5.5,0.0,10.0,0.0001,1.0,0.1,22.31358721256256,1.3998467689358742
experiments\experiment03,5.5,0.0,10.0,0.0001,2.0,0.1,39.04188842773438,1.4179664566958996
experiments\experiment04,5.5,0.0,10.0,0.001,0.0,0.1,13.759446358680725,1.2247253305064825
experiments\experiment05,5.5,0.0,10.0,0.001,1.0,0.1,22.176216149330138,1.5536865311787678
experiments\experiment06,5.5,0.0,10.0,0.001,2.0,0.1,38.16190826892853,1.5535074114423122
experiments\experiment07,5.5,0.0,10.0,0.01,0.0,0.1,14.823687624931335,1.9895951549436752
experiments\experiment08,5.5,0.0,10.0,0.01,1.0,0.1,22.299056792259215,1.5684418757626117
experiments\experiment09,5.5,0.0,10.0,0.01,2.0,0.1,38.357749581336975,1.5712945824946882
experiments\experiment10,5.5,0.0,100.0,0.0001,0.0,0.1,38.21546478271485,1.4772800845063945
experiments\experiment11,5.5,0.0,100.0,0.0001,1.0,0.1,122.07642455101013,1.4856866479986992
experiments\experiment12,5.5,0.0,100.0,0.0001,2.0,0.1,277.3865002155304,1.4870595161267173
experiments\experiment13,5.5,0.0,100.0,0.001,0.0,0.1,38.63543422222138,1.2725390286390972
experiments\experiment14,5.5,0.0,100.0,0.001,1.0,0.1,122.6510796546936,1.552302192067455
experiments\experiment15,5.5,0.0,100.0,0.001,2.0,0.1,281.62375421524047,1.5517555511846006
experiments\experiment16,5.5,0.0,100.0,0.01,0.0,0.1,38.91044173240662,1.4441500900022801
experiments\experiment17,5.5,0.0,100.0,0.01,1.0,0.1,123.43000559806823,1.553619325986032
experiments\experiment18,5.5,0.0,100.0,0.01,2.0,0.1,278.1117245912552,1.552244654925719
experiments\experiment19,5.5,1.0,10.0,0.0001,0.0,0.1,15.229595971107482,1.6815190318698545
experiments\experiment20,5.5,1.0,10.0,0.0001,1.0,0.1,24.433967638015748,1.592544328017927
experiments\experiment21,5.5,1.0,10.0,0.0001,2.0,0.1,41.764656615257266,1.262858968255993
experiments\experiment22,5.5,1.0,10.0,0.001,0.0,0.1,15.359392881393433,1.8399688450523044
experiments\experiment23,5.5,1.0,10.0,0.001,1.0,0.1,24.505202102661134,1.7880537597243227
experiments\experiment24,5.5,1.0,10.0,0.001,2.0,0.1,41.44339277744293,1.4624611734195596
experiments\experiment25,5.5,1.0,10.0,0.01,0.0,0.1,15.562214422225953,1.9193650733978145
experiments\experiment26,5.5,1.0,10.0,0.01,1.0,0.1,24.71993727684021,1.362967319379734
experiments\experiment27,5.5,1.0,10.0,0.01,2.0,0.1,42.23778176307678,1.276543601389202
experiments\experiment28,5.5,1.0,100.0,0.0001,0.0,0.1,42.45330097675323,2.0101005657616455
experiments\experiment29,5.5,1.0,100.0,0.0001,1.0,0.1,132.8598626613617,1.7636811623184876
experiments\experiment30,5.5,1.0,100.0,0.0001,2.0,0.1,305.26092817783353,1.4045870979265431
experiments\experiment31,5.5,1.0,100.0,0.001,0.0,0.1,42.26174159049988,1.8423015764723139
experiments\experiment32,5.5,1.0,100.0,0.001,1.0,0.1,133.33404085636138,1.8443725551869363
experiments\experiment33,5.5,1.0,100.0,0.001,2.0,0.1,305.00601823329924,1.4679030442830825
experiments\experiment34,5.5,1.0,100.0,0.01,0.0,0.1,42.49564757347107,1.7976964841344347
experiments\experiment35,5.5,1.0,100.0,0.01,1.0,0.1,132.61356172561645,1.7945930844292395
experiments\experiment36,5.5,1.0,100.0,0.01,2.0,0.1,305.67900083065035,1.4627728122616717
